"Rank","Name","Symbol","pe_ratio_ttm","price (INR)","country"
"1","Canara Bank","CANBK.NS","1.33249","104.06","India"
"2","HCL Technologies","HCLTECH.NS","1.42228","1839.65","India"
"3","Jain Irrigation Systems","JISLDVREQS.NS","2.35919","33.92","India"
"4","Bharat Petroleum","BPCL.NS","2.5632","337.65","India"
"5","Religare","RELIGARE.NS","2.67655","275","India"
"6","Allcargo Logistics","ALLCARGO.NS","3.02213","61.4","India"
"7","Godawari Power &amp; Ispat","GPIL.NS","3.42324","190.9","India"
"8","West Coast Paper Mills","WSTCSTPAPR.NS","3.93685","611.25","India"
"9","IDFC","IDFC.NS","3.99001","108.78","India"
"10","Chennai Petroleum","CHENNPETRO.NS","4.56828","909","India"
"11","Kuantum Papers","KUANTUM.NS","4.89034","137.7","India"
"12","Karnataka Bank","KTKBANK.NS","5.15685","228.2","India"
"13","South Indian Bank","SOUTHBANK.NS","5.65111","23.86","India"
"14","Southern Petrochemical Industries Corp","SPIC.NS","5.9034","84.54","India"
"15","Motilal Oswal Financial Services","MOTILALOFS.NS","6.1048","808.55","India"
"16","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","6.24563","140.04","India"
"17","Indiabulls Housing Finance","IBULHSGFIN.NS","6.33654","164.4","India"
"18","Milkfood Limited","MLKFOOD.BO","6.42031","137.25","India"
"19","Union Bank of India","UNIONBANK.NS","6.45616","114.12","India"
"20","Hindustan Petroleum","HINDPETRO.NS","6.58673","395.5","India"
"21","Raymond","RAYMOND.NS","6.88739","1603.45","India"
"22","Bank of Baroda","BANKBARODA.NS","7.03403","242.42","India"
"23","MMTC","MMTC.NS","7.2858","85.06","India"
"24","Rain Industries","RAIN.NS","7.41739","172.98","India"
"25","Orient Paper Mills","ORIENTPPR.NS","7.52449","46.82","India"
"26","Jagran Prakashan","JAGRAN.NS","7.81066","92.24","India"
"27","LIC Housing Finance","LICHSGFIN.NS","8.02654","619.5","India"
"28","Nestlé India","NESTLEIND.NS","8.04602","2511.8","India"
"29","Power Finance Corp","PFC.NS","8.27796","467.85","India"
"30","Oil India","OIL.NS","8.42841","584.55","India"
"31","CSB Bank","CSBBANK.NS","8.69234","307.3","India"
"32","Dhampur Sugar Mills","DHAMPURSUG.NS","8.82699","213.59","India"
"33","Spandana Sphoorty Financial","SPANDANA.NS","8.88358","538.15","India"
"34","Repco Home Finance","REPCOHOME.NS","9.15085","497.55","India"
"35","Indian Bank","INDIANB.NS","9.30567","524.55","India"
"36","General Insurance Corporation of India","GICRE.NS","9.34455","390.4","India"
"37","Indian Oil","IOC.NS","9.47701","163.15","India"
"38","Oil &amp; Natural Gas","ONGC.NS","9.56071","292.55","India"
"39","RBL Bank","RBLBANK.NS","10.2507","204.41","India"
"40","IIFL Finance","IIFL.NS","10.3695","469.55","India"
"41","State Bank of India","SBIN.NS","10.4299","799.75","India"
"42","Aditya Birla Capital","ABCAPITAL.NS","10.4472","220.84","India"
"43","Gujarat Mineral Development","GMDCLTD.NS","10.4546","340","India"
"44","MM Forgings","MMFL.NS","10.4755","571.25","India"
"45","Redington India","REDINGTON.NS","10.6153","184.3","India"
"46","Bank of Maharashtra","MAHABANK.NS","10.6682","54.24","India"
"47","Federal Bank","FEDERALBNK.NS","10.8149","187.55","India"
"48","Coal India","COALINDIA.NS","10.8753","492.95","India"
"49","Rural Electrification Corp","RECLTD.NS","10.9485","537.9","India"
"50","Piramal Enterprises","PEL.NS","11.0365","1079.8","India"
"51","Modern Dairies Limited","MODAIRY.BO","11.0519","56.06","India"
"52","Imagicaaworld Entertainment","IMAGICAA.NS","11.2513","79.54","India"
"53","I.g. Petrochemicals","IGPL.NS","11.388","586.2","India"
"54","Siyaram Silk Mills","SIYSIL.NS","11.4752","526.8","India"
"55","Karur Vysya Bank","KARURVYSYA.NS","11.4849","199.04","India"
"56","National Mineral Development Corporation","NMDC.NS","11.5161","233.68","India"
"57","City Union Bank","CUB.NS","11.8611","153.9","India"
"58","Delta Corp","DELTACORP.NS","11.9967","124.73","India"
"59","Hinduja Global Solutions","HGS.NS","12.0675","788","India"
"60","Cosmo First","COSMOFIRST.NS","12.1707","766.15","India"
"61","NACL Industries","NACLIND.NS","12.2358","53.14","India"
"62","IndusInd Bank","INDUSINDBK.NS","12.3147","1347.6","India"
"63","Hindustan Oil Exploration Company","HINDOILEXP.NS","12.3621","217.78","India"
"64","PTC India","PTC.NS","12.4496","197.38","India"
"65","Adani Power","ADANIPOWER.NS","12.4972","642.3","India"
"66","Life Insurance Corporation of India (LIC)","LICI.NS","12.9607","948.85","India"
"67","Tata Chemicals","TATACHEM.NS","13.0177","1183.1","India"
"68","Bandhan Bank","BANDHANBNK.NS","13.0771","210.26","India"
"69","Rashtriya Chemicals and Fertilizers","RCF.NS","13.1863","179.82","India"
"70","Alembic Limited","ALEMBICLTD.NS","13.6675","138.38","India"
"71","Monte Carlo Fashions","MONTECARLO.NS","13.6774","840.1","India"
"72","WNS","WNS","14.3373","4005.0948","India"
"73","Cantabil Retail India","CANTABIL.NS","14.4532","237.14","India"
"74","RITES","RITES.NS","14.589","313.6","India"
"75","Petronet LNG","PETRONET.NS","15.1152","355.15","India"
"76","Surya Roshni","SURYAROSNI.NS","15.2084","722.15","India"
"77","Mahanagar Gas","MGL.NS","15.4864","1834","India"
"78","VRL Logistics","VRLLOG.NS","16.1256","575.35","India"
"79","KSB ltd","KSB.NS","16.3196","997.8","India"
"80","Automotive Axles","AUTOAXLES.NS","16.403","1881.2","India"
"81","IDFC FIRST Bank","IDFCFIRSTB.NS","16.4162","72.37","India"
"82","Kirloskar Ferrous Industries","KIRLFER.NS","16.6212","460.05","India"
"83","Aptech","APTECHT.NS","16.7109","214.83","India"
"84","Sun TV Network","SUNTV.NS","16.7232","783.85","India"
"85","Kaveri Seed","KSCL.NS","16.7684","935.65","India"
"86","Shankara Building","SHANKARA.NS","16.8745","516.1","India"
"87","CIE Automotive India","CIEINDIA.NS","17.0058","541.2","India"
"88","Paisalo Digital","PAISALO.NS","17.04","52.39","India"
"89","Vedanta","VEDL.NS","17.1386","497.5","India"
"90","Knr Constructions","KNRCON.NS","17.2962","318.4","India"
"91","Gateway Distriparks","GATEWAY.NS","17.3681","87.79","India"
"92","Powergrid Corporation of India","POWERGRID.NS","18.0071","330.05","India"
"93","HEG","HEG.NS","18.0696","2458.85","India"
"94","East India Distilleries Parry","EIDPARRY.NS","18.0828","812.9","India"
"95","Jindal Stainless","JSL.NS","18.2801","754.45","India"
"96","ICICI Securities","ISEC.NS","18.3288","829.45","India"
"97","IDBI Bank","IDBI.NS","18.4228","83.28","India"
"98","Kalyani Steels","KSL.NS","18.4722","834.35","India"
"99","NLC India","NLCINDIA.NS","18.6114","266.1","India"
"100","GTPL Hathway","GTPL.NS","18.6691","161.74","India"
"101","Shriram Transport Finance","SHRIRAMFIN.NS","18.7026","3341.2","India"
"102","Poonawalla Fincorp","POONAWALLA.NS","18.8032","380.7","India"
"103","Indian Metals &amp; Ferro Alloys","IMFA.NS","18.982","706.75","India"
"104","Punjab National Bank","PNB.NS","19.21","104.91","India"
"105","Hindalco Industries","HINDALCO.NS","19.2223","747.35","India"
"106","India Motor Parts and Accessories","IMPAL.NS","19.5194","1287.6","India"
"107","Chambal Fertilisers","CHAMBLFERT.NS","19.6194","497.5","India"
"108","MSTC Limited","MSTCLTD.NS","19.7968","686.15","India"
"109","Nucleus Software Exports","NUCLEUS.NS","19.9506","1299.6","India"
"110","Muthoot Finance","MUTHOOTFIN.NS","19.9997","1945.45","India"
"111","Confidence Petroleum","CONFIPET.NS","20.3377","81.39","India"
"112","Hindustan Construction Company","HCC.NS","20.3408","42.26","India"
"113","Power Mech Projects","POWERMECH.NS","20.4426","3108.4","India"
"114","Accelya","ACCELYA.NS","20.4843","1767.85","India"
"115","Nilkamal","NILKAMAL.NS","20.5055","1936.25","India"
"116","Federal-Mogul Goetze","FMGOETZE.NS","20.5412","419.05","India"
"117","ICICI Bank","IBN","20.6083","2412.809","India"
"118","Central Bank of India","CENTRALBK.NS","20.8713","56.96","India"
"119","Dr. Reddy's","RDY","21.1263","6578.4775","India"
"120","Lumax Industries","LUMAXIND.NS","21.1732","2466.9","India"
"121","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","21.3792","10851.1","India"
"122","Kotak Mahindra Bank","KOTAKBANK.NS","21.4233","1882.4","India"
"123","Greenpanel Industries","GREENPANEL.NS","21.7536","398.9","India"
"124","Bliss GVS Pharma","BLISSGVS.NS","21.7583","128.06","India"
"125","TANLA","TANLA.NS","22.0558","858.1","India"
"126","Polyplex","POLYPLEX.NS","22.5895","1169.65","India"
"127","Ashoka Buildcon","ASHOKA.NS","22.6985","251.64","India"
"128","NTPC Limited","NTPC.NS","22.8359","422.5","India"
"129","NHPC Limited","NHPC.NS","22.911","90.92","India"
"130","CEAT","CEATLTD.NS","22.9311","3010.7","India"
"131","Sterlite Technologies","STLTECH.NS","22.9733","120.66","India"
"132","Indraprastha Gas","IGL.NS","23.0532","540.55","India"
"133","Coromandel","COROMANDEL.NS","23.4125","1638.95","India"
"134","Gulf Oil Lubricants","GULFOILLUB.NS","23.7323","1313.45","India"
"135","Apollo Tyres","APOLLOTYRE.NS","23.9166","505.05","India"
"136","Vadilal Industries","VADILALIND.NS","24.0645","4048.85","India"
"137","Transport Corporation of India","TCI.NS","24.1383","1037.75","India"
"138","Wipro","WIT","24.51","535.5259","India"
"139","Hindustan Zinc","HINDZINC.NS","24.7918","504.15","India"
"140","UPL","UPL.NS","24.8593","583.05","India"
"141","Hudco","HUDCO.NS","25.1208","223.1","India"
"142","DCM Shriram","DCMSHRIRAM.NS","25.2365","1018.25","India"
"143","Navkar Corp","NAVKARCORP.NS","25.4207","125.42","India"
"144","Aarti Drugs","AARTIDRUGS.NS","25.6633","509.9","India"
"145","JSW Steel","JSWSTEEL.NS","25.8479","1012.05","India"
"146","Nerolac Paints","KANSAINER.NS","26.2074","288.75","India"
"147","Sudarshan Chemical","SUDARSCHEM.NS","26.5965","1201.1","India"
"148","Reliance Industries","RELIANCE.NS","26.6043","2744.2","India"
"149","Rane Brake Lining","RBL.NS","26.6782","1159.9","India"
"150","Kewal Kiran Clothing","KKCL.NS","26.9447","666.25","India"
"151","Indoco Remedies","INDOCO.NS","26.9558","337.3","India"
"152","Sanofi India Limited","SANOFI.NS","27.0511","6915.1","India"
"153","India Glycols","INDIAGLYCO.NS","27.0549","1470.5","India"
"154","Grasim Industries","GRASIM.NS","27.0603","2725.55","India"
"155","Axis Bank","AXISBANK.BO","27.1068","1172.4","India"
"156","Punjab &amp; Sind Bank","PSB.NS","27.2648","52.16","India"
"157","Sasken Technologies","SASKEN.NS","27.3665","1706.8","India"
"158","Engineers India","ENGINERSIN.NS","27.8568","200.71","India"
"159","Sundaram Finance","SUNDARMHLD.NS","27.9638","346.95","India"
"160","AU Small Finance Bank","AUBANK.NS","28.1278","690.4","India"
"161","National Fertilizers","NFL.NS","28.2334","121.76","India"
"162","Arvind","ARVIND.NS","28.238","360.2","India"
"163","Galaxy Surfactants","GALAXYSURF.NS","28.5475","2931.1","India"
"164","Aavas Financiers","AAVAS.NS","28.6565","1718.85","India"
"165","MPS Limited","MPSLTD.NS","28.6625","2092.3","India"
"166","Geojit Financial Services","GEOJITFSL.NS","28.7587","137.94","India"
"167","New India Assurance","NIACL.NS","28.8588","209.68","India"
"168","India Nippon Electricals","INDNIPPON.NS","28.9856","705.6","India"
"169","NCC Limited","NCC.NS","29.2763","298.45","India"
"170","Zensar","ZENSARTECH.NS","29.3774","694.95","India"
"171","Mahindra &amp; Mahindra","M&M.NS","29.3876","3134.35","India"
"172","ITC","ITC.NS","29.4841","488.2","India"
"173","Wonderla Holidays","WONDERLA.NS","29.559","903.05","India"
"174","SBI Card","SBICARD.NS","29.5853","733.75","India"
"175","Rico Auto Industries","RICOAUTO.NS","29.6161","107.91","India"
"176","Rane Holdings","RANEHOLDIN.NS","29.8094","1989.7","India"
"177","Cyient","CYIENT.NS","29.8912","1851.2","India"
"178","eClerx Services","ECLERX.NS","29.9241","3090.55","India"
"179","Huhtamaki India","HUHTAMAKI.NS","29.9693","400.2","India"
"180","Mastek","MASTEK.NS","29.9762","2709.8","India"
"181","Wheels India","WHEELS.NS","30.2641","743.55","India"
"182","Amara Raja Batteries","ARE&M.NS","30.2711","1406.9","India"
"183","Edelweiss Financial Services","EDELWEISS.NS","30.4891","127.87","India"
"184","Capacit'e Infraprojects","CAPACITE.NS","30.5891","396.4","India"
"185","PDS Multinational","PDSL.NS","30.678","520.3","India"
"186","GAIL","GAIL.NS","30.7472","229.4","India"
"187","AIA Engineering","AIAENG.NS","30.8395","4074.35","India"
"188","Natco Pharma","NATCOPHARM.NS","31.2596","1436.25","India"
"189","Tide Water Oil","TIDEWATER.NS","31.7494","2140.4","India"
"190","Infosys","INFY","31.875","1927.7251","India"
"191","Indian Railway Finance","IRFC.NS","32.037","152.4","India"
"192","Jay Bharat Maruti","JAYBARMARU.NS","32.0886","98.07","India"
"193","Gujarat Gas","GUJGASLTD.NS","32.3345","600.1","India"
"194","MOIL","MOIL.NS","32.5239","382.75","India"
"195","Narayana Hrudayalaya","NH.NS","32.5343","1221.2","India"
"196","Hindustan Aeronautics","HAL.NS","32.8082","4446.15","India"
"197","Shriram Pistons &amp; Rings","SHRIPISTON.NS","32.8169","2210.3","India"
"198","Jindal Poly Films","JINDALPOLY.NS","32.9294","817.55","India"
"199","Granules India","GRANULES.NS","32.9641","603.85","India"
"200","Bajaj Finance","BAJFINANCE.NS","33.0363","7302","India"
"201","National Aluminum &amp; Alloy","NATIONALUM.NS","33.0715","222.92","India"
"202","Hero MotoCorp","HEROMOTOCO.NS","33.0926","5476.3","India"
"203","Mphasis","MPHASIS.NS","33.1272","2876.35","India"
"204","Phoenix Mills","PHOENIXLTD.NS","33.1756","1628.95","India"
"205","Fine Organics","FINEORG.NS","33.3096","5080.5","India"
"206","Tata Consultancy Services","TCS.NS","33.3694","4149.2","India"
"207","Steel Authority of India","SAIL.NS","34.3313","134.03","India"
"208","Jindal Steel &amp; Power","JINDALSTEL.NS","34.4413","1005.85","India"
"209","Kingfa Science & Technology","KINGFA.NS","34.596","3333.45","India"
"210","Maruti Suzuki India","MARUTI.NS","34.6089","12776.6","India"
"211","Dalmia Bharat","DALBHARAT.NS","35.4341","1872.95","India"
"212","Apex Frozen Foods","APEX.NS","35.4826","244.23","India"
"213","Indus Towers","INDUSTOWER.NS","35.5029","378.5","India"
"214","Star Health and Allied Insurance Company","STARHEALTH.NS","35.5372","547.6","India"
"215","Finolex Cables","FINCABLES.NS","35.6306","1298.15","India"
"216","Shalby","SHALBY.NS","35.7487","263.5","India"
"217","Prime Focus","PFOCUS.NS","36.1833","150.84","India"
"218","Gland Pharma","GLAND.NS","36.6333","1698.55","India"
"219","Cipla","CIPLA.NS","36.6376","1595.75","India"
"220","Ashok Leyland","ASHOKLEY.NS","36.6936","227.86","India"
"221","FDC India","FDC.NS","37.3444","536.2","India"
"222","Safari Industries India","SAFARI.NS","37.3978","2611","India"
"223","Bayer Crop Science","BAYERCROP.NS","37.5785","6713.85","India"
"224","Time Technoplast","TIMETECHNO.NS","37.7929","394.85","India"
"225","Gokaldas Exports","GOKEX.NS","38.4624","932.15","India"
"226","Parag Milk Foods","PARAGMILK.NS","38.5954","227.29","India"
"227","Gujarat Alkalies and Chemicals","GUJALKALI.NS","38.9072","875.3","India"
"228","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","38.9656","3534.9","India"
"229","Anup Engineering","ANUP.NS","39.0356","2735.15","India"
"230","Larsen &amp; Toubro","LT.NS","39.1831","3482.55","India"
"231","Eicher Motors","EICHERMOT.NS","39.2183","4728.05","India"
"232","Sterling Tools","STERTOOLS.NS","39.3504","574.65","India"
"233","SRF Limited","SRF.NS","39.3938","2348.75","India"
"234","Bajaj Finserv","BAJAJFINSV.NS","39.5223","1876.4","India"
"235","Finolex Industries","FINPIPE.NS","39.5697","299.45","India"
"236","Tech Mahindra","TECHM.NS","39.6261","1647.05","India"
"237","Electrosteel Castings","ELECTCAST.NS","39.789","202.3","India"
"238","Varun Beverages","VBL.NS","39.9484","592.35","India"
"239","Cholamandalam Investment and Finance","CHOLAFIN.NS","40.0409","1501.05","India"
"240","Vaibhav Global","VAIBHAVGBL.NS","40.0579","300.65","India"
"241","Aarti Industries","AARTIIND.NS","40.1069","529.2","India"
"242","CARE's Ratings","CARERATING.NS","40.5414","1230.35","India"
"243","Filatex India","FILATEX.NS","40.5528","57.86","India"
"244","Tata Power","TATAPOWER.NS","41.0009","461.15","India"
"245","Sandhar","SANDHAR.NS","41.0332","574.45","India"
"246","Welspun India","WELSPUNIND.NS","41.2198","158.95","India"
"247","Gujarat Fluorochemicals","FLUOROCHEM.NS","41.255","4693.85","India"
"248","Torrent Power","TORNTPOWER.NS","41.5628","1886.4","India"
"249","Zydus Lifesciences","ZYDUSLIFE.NS","41.6347","1064.4","India"
"250","EaseMyTrip","EASEMYTRIP.NS","41.6509","34.19","India"
"251","Force Motors","FORCEMOT.NS","41.704","7099.9","India"
"252","SJVN","SJVN.NS","41.7273","120.19","India"
"253","LTIMindtree","LTIM.NS","42.0392","6410.95","India"
"254","Vst Tillers Tractors","VSTTILLERS.NS","42.1577","4512.55","India"
"255","Excel Industries","EXCELINDUS.NS","42.2403","1626.6","India"
"256","Honda Siel Power Products","HONDAPOWER.NS","42.3673","4154.2","India"
"257","Persistent Systems","PERSISTENT.NS","42.4173","5469.55","India"
"258","Alembic Pharmaceuticals","APLLTD.NS","42.575","1171.7","India"
"259","Trident","TRIDENT.NS","42.6617","35.3","India"
"260","Embassy Office Parks REIT","EMBASSY.BO","42.8603","387.76","India"
"261","Zydus Wellness","ZYDUSWELL.NS","42.8663","1956.25","India"
"262","L&amp;T Technology Services","LTTS.NS","43.2539","5234.2","India"
"263","Suprajit Engineering","SUPRAJIT.NS","43.2542","505.4","India"
"264","Aurobindo Pharma","AUROPHARMA.NS","43.3093","1495.85","India"
"265","Cera Sanitaryware","CERA.NS","43.3956","7899.65","India"
"266","Craftsman Automation","CRAFTSMAN.NS","43.5038","6228.1","India"
"267","Greenlam Industries","GREENLAM.NS","43.5038","509.15","India"
"268","Hikal","HIKAL.NS","43.5386","340","India"
"269","Marksans Pharma","MARKSANS.NS","43.6593","289.15","India"
"270","PCBL Limited","PCBL.NS","43.7588","508.6","India"
"271","Mishra Dhatu Nigam","MIDHANI.NS","43.8725","376.7","India"
"272","Madras Rubber Factory","MRF.NS","44.3884","132198","India"
"273","Sheela Foam","SFL.NS","44.3959","913.1","India"
"274","Emami","EMAMILTD.NS","44.752","730.25","India"
"275","Container Corporation of India","CONCOR.NS","45.0696","893.9","India"
"276","Gabriel India","GABRIEL.NS","45.2538","458.35","India"
"277","Somany Ceramics","SOMANYCERA.NS","45.6136","720.25","India"
"278","InterGlobe Aviation","INDIGO.NS","46.1906","4693.45","India"
"279","The Tinplate Company Of India","TINPLATE.NS","47.278","430.5","India"
"280","CDSL","CDSL.NS","47.3888","1478.05","India"
"281","Adani Ports & SEZ","ADANIPORTS.NS","47.3982","1408.25","India"
"282","SKF India","SKFINDIA.NS","47.4845","5413.2","India"
"283","Prince Pipes And Fittings","PRINCEPIPE.NS","47.4881","546.95","India"
"284","Bajaj Electricals","BAJAJELEC.NS","47.7515","900.9","India"
"285","Bajaj Auto","BAJAJ-AUTO.NS","48.2219","11877","India"
"286","Orient Cement","ORIENTCEM.NS","48.5358","295.75","India"
"287","Rupa Company","RUPA.NS","48.9817","287.35","India"
"288","Deepak Nitrite","DEEPAKNTR.NS","49.1585","2829.6","India"
"289","Happiest Minds Technologies","HAPPSTMNDS.NS","49.2421","800.75","India"
"290","Heidelbergcement India","HEIDELBERG.NS","49.5812","224.39","India"
"291","PI Industries","PIIND.NS","49.6557","4523.6","India"
