"Rank","Name","Symbol","employees_count","price (INR)","country"
"295","V-Guard Industries","VGUARD.NS","2477","440.1","India"
"296","LIC Housing Finance","LICHSGFIN.NS","2467","619.5","India"
"297","DLF","DLF.NS","2417","846.6","India"
"298","Mirza International","MIRZAINT.NS","2409","42.73","India"
"299","Prakash Industries","PRAKASH.NS","2404","169.26","India"
"300","West Coast Paper Mills","WSTCSTPAPR.NS","2386","611.25","India"
"301","Poonawalla Fincorp","POONAWALLA.NS","2384","380.7","India"
"302","Filatex India","FILATEX.NS","2383","57.86","India"
"303","Coffee Day Enterprises","COFFEEDAY.NS","2376","36.14","India"
"304","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","2371","206.07","India"
"305","Dollar Industries","DOLLAR.NS","2323","545.55","India"
"306","JSW Energy","JSWENERGY.NS","2310","706.7","India"
"307","Lumax Industries","LUMAXIND.NS","2281","2466.9","India"
"308","Cantabil Retail India","CANTABIL.NS","2278","237.14","India"
"309","Greenlam Industries","GREENLAM.NS","2249","509.15","India"
"310","East India Distilleries Parry","EIDPARRY.NS","2230","812.9","India"
"311","Colgate-Palmolive India","COLPAL.NS","2221","3689.65","India"
"312","Wheels India","WHEELS.NS","2221","743.55","India"
"313","Sheela Foam","SFL.NS","2221","913.1","India"
"314","MPS Limited","MPSLTD.NS","2210","2092.3","India"
"315","Crompton Greaves Consumer Electricals","CROMPTON.NS","2190","430.85","India"
"316","Jindal Stainless (Hisar)","JSLHISAR.NS","2190","570","India"
"317","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","2181","15304.8","India"
"318","Grindwell Norton","GRINDWELL.NS","2178","2416.5","India"
"319","Sanofi India Limited","SANOFI.NS","2174","6915.1","India"
"320","Knr Constructions","KNRCON.NS","2173","318.4","India"
"321","Carborundum Universal","CARBORUNIV.NS","2160","1467.95","India"
"322","RITES","RITES.NS","2154","313.6","India"
"323","Craftsman Automation","CRAFTSMAN.NS","2154","6228.1","India"
"324","APL Apollo","APLAPOLLO.NS","2137","1571.7","India"
"325","Indian Metals &amp; Ferro Alloys","IMFA.NS","2128","706.75","India"
"326","Texmaco Rail &amp; Engineering","TEXRAIL.NS","2114","196.37","India"
"327","Ramkrishna Forgings","RKFORGE.NS","2112","999.3","India"
"328","Skipper Limited","SKIPPER.NS","2100","548.1","India"
"329","JBM Auto","JBMA.NS","2063","1774.55","India"
"330","MM Forgings","MMFL.NS","2054","571.25","India"
"331","Ashoka Buildcon","ASHOKA.NS","2030","251.64","India"
"332","Bodal Chemicals","BODALCHEM.NS","2025","82.91","India"
"333","VA Tech Wabag","WABAG.NS","2000","1562.45","India"
"334","Jindal Worldwide","JINDWORLD.NS","1979","313.9","India"
"335","Voltas","VOLTAS.NS","1938","1789.45","India"
"336","KSB ltd","KSB.NS","1937","997.8","India"
"337","Hikal","HIKAL.NS","1906","340","India"
"338","Greenpanel Industries","GREENPANEL.NS","1891","398.9","India"
"339","Somany Ceramics","SOMANYCERA.NS","1888","720.25","India"
"340","Chalet Hotels","CHALET.NS","1853","890","India"
"341","Tejas Networks","TEJASNET.NS","1843","1189.5","India"
"342","Monte Carlo Fashions","MONTECARLO.NS","1806","840.1","India"
"343","Nucleus Software Exports","NUCLEUS.NS","1782","1299.6","India"
"344","Solar Industries India","SOLARINDS.NS","1781","11318.4","India"
"345","Sequent Scientific","SEQUENT.NS","1771","192.72","India"
"346","Jindal Stainless","JSL.NS","1761","754.45","India"
"347","Dixon Technologies","DIXON.NS","1755","15143.6","India"
"348","Hyderabad Industries Limited","HIL.NS","1745","2848","India"
"349","Jindal Poly Films","JINDALPOLY.NS","1740","817.55","India"
"350","Graphite India","GRAPHITE.NS","1721","579.05","India"
"351","JTEKT India","JTEKTINDIA.NS","1719","175.94","India"
"352","Deepak Nitrite","DEEPAKNTR.NS","1694","2829.6","India"
"353","Nectar Lifesciences","NECLIFE.NS","1669","39.09","India"
"354","Galaxy Surfactants","GALAXYSURF.NS","1668","2931.1","India"
"355","Indian Telephone Industries","ITI.NS","1665","248.25","India"
"356","Prince Pipes And Fittings","PRINCEPIPE.NS","1665","546.95","India"
"357","HBL Power Systems","HBLPOWER.NS","1663","604.7","India"
"358","SKF India","SKFINDIA.NS","1662","5413.2","India"
"359","Marico","MARICO.NS","1657","685.5","India"
"360","Sumitomo Chemical
 India","SUMICHEM.NS","1649","545.1","India"
"361","Kewal Kiran Clothing","KKCL.NS","1648","666.25","India"
"362","Sandhar","SANDHAR.NS","1609","574.45","India"
"363","Adani Green Energy","ADANIGREEN.NS","1597","1792.2","India"
"364","Suzlon","SUZLON.NS","1592","74.39","India"
"365","Finolex Cables","FINCABLES.NS","1589","1298.15","India"
"366","Parag Milk Foods","PARAGMILK.NS","1572","227.29","India"
"367","Rico Auto Industries","RICOAUTO.NS","1558","107.91","India"
"368","Neuland Laboratories","NEULANDLAB.NS","1554","14247.6","India"
"369","Gujarat Alkalies and Chemicals","GUJALKALI.NS","1538","875.3","India"
"370","Gallantt Ispat","GALLISPAT.NS","1516","64.9","India"
"371","Suprajit Engineering","SUPRAJIT.NS","1514","505.4","India"
"372","Indorama Synthetics","INDORAMA.NS","1501","47.46","India"
"373","Chennai Petroleum","CHENNPETRO.NS","1486","909","India"
"374","Hindustan Copper","HINDCOPPER.NS","1476","315.85","India"
"375","Aarti Drugs","AARTIDRUGS.NS","1450","509.9","India"
"376","Sasken Technologies","SASKEN.NS","1443","1706.8","India"
"377","Asian Granito India","ASIANTILES.NS","1440","78.95","India"
"378","Apar Industries","APARINDS.NS","1428","10428.4","India"
"379","JCI Hitachi India","JCHAC.NS","1427","2560.85","India"
"380","SJVN","SJVN.NS","1418","120.19","India"
"381","Marksans Pharma","MARKSANS.NS","1412","289.15","India"
"382","GE Power India","GEPIL.NS","1405","404.05","India"
"383","Amber Enterprises India","AMBER.NS","1397","5019.85","India"
"384","Orient Paper Mills","ORIENTPPR.NS","1394","46.82","India"
"385","The Tinplate Company Of India","TINPLATE.NS","1388","430.5","India"
"386","Kirloskar Ferrous Industries","KIRLFER.NS","1385","460.05","India"
"387","Finolex Industries","FINPIPE.NS","1379","299.45","India"
"388","NBCC India","NBCC.NS","1367","114.06","India"
"389","BASF India","BASF.NS","1363","8168.25","India"
"390","Indian Railway Catering & Tourism","IRCTC.NS","1363","889.2","India"
"391","Container Corporation of India","CONCOR.NS","1359","893.9","India"
"392","Bayer Crop Science","BAYERCROP.NS","1321","6713.85","India"
"393","Reliance Power","RPOWER.NS","1305","44.23","India"
"394","Kuantum Papers","KUANTUM.NS","1304","137.7","India"
"395","AIA Engineering","AIAENG.NS","1287","4074.35","India"
"396","Sudarshan Chemical","SUDARSCHEM.NS","1285","1201.1","India"
"397","Orient Cement","ORIENTCEM.NS","1275","295.75","India"
"398","RPG Life Sciences","RPGLIFE.NS","1270","2806.9","India"
"399","Kellton Tech Solutions","KELLTONTEC.NS","1269","146.99","India"
"400","Elgi Equipments","ELGIEQUIP.NS","1258","671.6","India"
"401","Timken India","TIMKEN.NS","1256","3733.3","India"
"402","NACL Industries","NACLIND.NS","1254","53.14","India"
"403","Puravankara","PURVA.NS","1248","394.45","India"
"404","Schneider Electric Infrastructure","SCHNEIDER.NS","1232","860.45","India"
"405","360 One Wam","360ONE.NS","1226","1056.9","India"
"406","Dhampur Sugar Mills","DHAMPURSUG.NS","1213","213.59","India"
"407","Vaibhav Global","VAIBHAVGBL.NS","1199","300.65","India"
"408","Kaveri Seed","KSCL.NS","1198","935.65","India"
"409","Radico Khaitan","RADICO.NS","1196","2150.7","India"
"410","Praj Industries","PRAJIND.NS","1192","772.4","India"
"411","Action Construction Equipment","ACE.NS","1184","1343.85","India"
"412","PCBL Limited","PCBL.NS","1178","508.6","India"
"413","Accelya","ACCELYA.NS","1177","1767.85","India"
"414","Rupa Company","RUPA.NS","1152","287.35","India"
"415","India Glycols","INDIAGLYCO.NS","1151","1470.5","India"
"416","Cosmo First","COSMOFIRST.NS","1148","766.15","India"
"417","Hindustan Media Ventures","HMVL.NS","1146","94.1","India"
"418","3M India","3MINDIA.NS","1132","33995","India"
"419","Mangalam Cement","MANGLMCEM.NS","1114","862.3","India"
"420","Hindustan Construction Company","HCC.NS","1105","42.26","India"
"421","Kokuyo Camlin","KOKUYOCMLN.NS","1095","182.81","India"
"422","Yatra","YTRA","1095","142.919","India"
"423","HEG","HEG.NS","1075","2458.85","India"
"424","Gujarat Mineral Development","GMDCLTD.NS","1064","340","India"
"425","Heidelbergcement India","HEIDELBERG.NS","1063","224.39","India"
"426","Astra Microwave","ASTRAMICRO.NS","1058","860.1","India"
"427","Excel Industries","EXCELINDUS.NS","1047","1626.6","India"
"428","Chambal Fertilisers","CHAMBLFERT.NS","1035","497.5","India"
"429","Gujarat Gas","GUJGASLTD.NS","1034","600.1","India"
"430","Safari Industries India","SAFARI.NS","1004","2611","India"
"431","Orient Electric","ORIENTELEC.NS","1001","236.46","India"
"432","Automotive Axles","AUTOAXLES.NS","988","1881.2","India"
"433","Quick Heal","QUICKHEAL.NS","986","811.7","India"
"434","Sun TV Network","SUNTV.NS","979","783.85","India"
"435","Zydus Wellness","ZYDUSWELL.NS","975","1956.25","India"
"436","Capacit'e Infraprojects","CAPACITE.NS","970","396.4","India"
"437","Allcargo Logistics","ALLCARGO.NS","959","61.4","India"
"438","Paisalo Digital","PAISALO.NS","958","52.39","India"
"439","Oberoi Realty","OBEROIRLTY.NS","934","1919.15","India"
"440","SML Isuzu","SMLISUZU.NS","916","1835.4","India"
"441","Inox Wind","INOXWIND.NS","913","218.61","India"
"442","Repco Home Finance","REPCOHOME.NS","898","497.55","India"
"443","Aether Industries","AETHER.NS","889","948.5","India"
"444","Ashiana Housing","ASHIANA.NS","857","308.25","India"
"445","KCP Limited","KCP.NS","856","237.45","India"
"446","India Motor Parts and Accessories","IMPAL.NS","854","1287.6","India"
"447","Hinduja Ventures","NXTDIGITAL.NS","837","117","India"
"448","sterling &amp; wilson solar","SWSOLAR.NS","835","566.4","India"
"449","Apollo Pipes","APOLLOPIPE.NS","834","568.5","India"
"450","ESAB India","ESABINDIA.NS","820","6151.75","India"
"451","Campus Activewear","CAMPUS.NS","782","315.5","India"
"452","Mishra Dhatu Nigam","MIDHANI.NS","773","376.7","India"
"453","Sanghi Industries","SANGHIIND.NS","767","83.11","India"
"454","Bliss GVS Pharma","BLISSGVS.NS","763","128.06","India"
"455","Fine Organics","FINEORG.NS","760","5080.5","India"
"456","Honda Siel Power Products","HONDAPOWER.NS","754","4154.2","India"
"457","Infibeam Avenues","INFIBEAM.NS","750","28.79","India"
"458","Oriental Aromatics","OAL.NS","744","509.2","India"
"459","eMudhra","EMUDHRA.NS","733","952.5","India"
"460","GTPL Hathway","GTPL.NS","729","161.74","India"
"461","Indraprastha Gas","IGL.NS","710","540.55","India"
"462","Hudco","HUDCO.NS","703","223.1","India"
"463","Syrma SGS Technology","SYRMA.NS","697","416.85","India"
"464","GTL Infrastructure","GTLINFRA.NS","669","2.36","India"
"465","Vadilal Industries","VADILALIND.NS","668","4048.85","India"
"466","Shankara Building","SHANKARA.NS","664","516.1","India"
"467","Hathway","HATHWAY.NS","658","20.09","India"
"468","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","651","140.04","India"
"469","Vst Tillers Tractors","VSTTILLERS.NS","649","4512.55","India"
"470","Igarashi Motors India","IGARASHI.NS","648","638.35","India"
"471","Castrol India","CASTROLIND.NS","630","227.82","India"
"472","Network18","NETWORK18.NS","620","81.36","India"
"473","Southern Petrochemical Industries Corp","SPIC.NS","617","84.54","India"
"474","Borosil","BORORENEW.NS","602","461.9","India"
"475","Rane Brake Lining","RBL.NS","597","1159.9","India"
"476","Gulf Oil Lubricants","GULFOILLUB.NS","585","1313.45","India"
"477","Hester Biosciences","HESTERBIO.NS","584","2348.65","India"
"478","Mahindra Lifespaces","MAHLIFE.NS","580","508.15","India"
"479","Wonderla Holidays","WONDERLA.NS","573","903.05","India"
"480","India Tourism Development Corp","ITDC.NS","567","658.1","India"
"481","CARE's Ratings","CARERATING.NS","563","1230.35","India"
"482","India Nippon Electricals","INDNIPPON.NS","561","705.6","India"
"483","Vesuvius India","VESUVIUS.NS","559","5345.35","India"
"484","Imagicaaworld Entertainment","IMAGICAA.NS","554","79.54","India"
"485","Sterling Tools","STERTOOLS.NS","554","574.65","India"
"486","Astec Lifesciences","ASTEC.NS","551","1093.2","India"
"487","Adani Total Gas","ATGL.NS","549","757.35","India"
"488","Ingersoll Rand India","INGERRAND.NS","536","4434.75","India"
"489","RattanIndia Power","RTNPOWER.NS","524","16.44","India"
"490","Petronet LNG","PETRONET.NS","519","355.15","India"
"491","MapmyIndia","MAPMYINDIA.NS","510","2135.15","India"
"492","Tide Water Oil","TIDEWATER.NS","509","2140.4","India"
"493","EaseMyTrip","EASEMYTRIP.NS","508","34.19","India"
"494","Power Finance Corp","PFC.NS","501","467.85","India"
"495","Navkar Corp","NAVKARCORP.NS","495","125.42","India"
"496","General Insurance Corporation of India","GICRE.NS","494","390.4","India"
"497","Mahanagar Gas","MGL.NS","491","1834","India"
"498","BSE","BSE.NS","485","4496.45","India"
"499","INEOS Styrolution","INEOSSTYRO.NS","479","807.8","India"
"500","Ebixcash India","EBIXFOREX.NS","474","614.5517","India"
"501","Omaxe","OMAXE.NS","468","129.26","India"
"502","Reliance Communications","RCOM.NS","464","2.58","India"
"503","Symphony Limited","SYMPHONY.NS","462","1824.7","India"
"504","I.g. Petrochemicals","IGPL.NS","461","586.2","India"
"505","Aptech","APTECHT.NS","458","214.83","India"
"506","Sunteck Realty","SUNTECK.NS","453","556.25","India"
"507","Rural Electrification Corp","RECLTD.NS","440","537.9","India"
"508","Procter &amp; Gamble India","PGHH.NS","432","16634.9","India"
"509","Azure Power","AZREF","427","25.221","India"
"510","Ethos Watches","ETHOSLTD.NS","424","3092.85","India"
"511","Radio City","RADIOCITY.NS","415","15.73","India"
"512","Vedant Fashions","MANYAVAR.NS","409","1320.05","India"
"513","SPARC","SPARC.NS","403","213.18","India"
"514","Wendt India","WENDT.NS","388","14724.2","India"
"515","Tata Teleservices","TTML.NS","385","81.9","India"
"516","Dish TV","DISHTV.NS","376","14.25","India"
"517","Olectra Greentech","OLECTRA.NS","337","1752.1","India"
"518","TANLA","TANLA.NS","336","858.1","India"
"519","IDFC","IDFC.NS","328","108.78","India"
"520","Voltamp Transformers","VOLTAMP.NS","320","13599","India"
"521","MSTC Limited","MSTCLTD.NS","315","686.15","India"
"522","Multi Commodity Exchange","MCX.NS","308","6410.55","India"
"523","Alembic Limited","ALEMBICLTD.NS","271","138.38","India"
"524","CDSL","CDSL.NS","246","1478.05","India"
"525","Linde India","LINDEINDIA.NS","242","8147.75","India"
"526","Kingfa Science & Technology","KINGFA.NS","221","3333.45","India"
"527","Foseco India","FOSECOIND.NS","220","4706","India"
"528","Anup Engineering","ANUP.NS","205","2735.15","India"
"529","Anant Raj","ANANTRAJ.NS","204","750.2","India"
"530","Sundaram Finance","SUNDARMHLD.NS","193","346.95","India"
"531","Zee Learn","ZEELEARN.NS","193","11.1","India"
"532","PDS Multinational","PDSL.NS","180","520.3","India"
"533","Unitech Group","UNITECH.NS","175","11.18","India"
"534","Confidence Petroleum","CONFIPET.NS","163","81.39","India"
"535","Rajesh Exports","RAJESHEXPO.NS","135","291.45","India"
"536","KIOCL","KIOCL.NS","120","372.2","India"
"537","Rane Holdings","RANEHOLDIN.NS","115","1989.7","India"
"538","MEP Infrastructure","MEP.NS","111","4.26","India"
"539","PTC India","PTC.NS","102","197.38","India"
"540","Phoenix Mills","PHOENIXLTD.NS","96","1628.95","India"
"541","Hindustan Oil Exploration Company","HINDOILEXP.NS","94","217.78","India"
"542","Nelco","NELCO.NS","93","1002.25","India"
"543","Balaji Telefilms","BALAJITELE.NS","87","63.26","India"
"544","Nazara Technologies","NAZARA.NS","73","923.4","India"
"545","Vidhi Specialty Food","VIDHIING.NS","71","480.55","India"
"546","Kalyani Steels","KSL.NS","66","834.35","India"
"547","PTC Financial Services","PFS.NS","48","47.96","India"
"548","GMR Group","GMRINFRA.NS","40","88.42","India"
"549","Indian Railway Finance","IRFC.NS","37","152.4","India"
"550","Tata Investment Corporation","TATAINVEST.NS","23","7048.3","India"
"551","Srei Infrastructure Finance","SREINFRA.NS","20","2.1","India"
"552","Gati","GATI.NS","20","137.05","India"
"553","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","18","10851.1","India"
"554","Max Financial Services","MFSL.NS","12","1185.55","India"
"555","N.B.I. Industrial Finance","NBIFIN.NS","5","2388.3","India"
"556","Jump Networks","JUMPNET.NS","3","10.0884","India"
"557","JSW Holdings","JSWHL.NS","2","8974.75","India"
"558","ICICI Securities","ISEC.NS","0","829.45","India"
"559","Adani Energy Solutions","ADANIENSOL.NS","0","976.8","India"
"560","Embassy Office Parks REIT","EMBASSY.BO","0","387.76","India"
"561","Jio Financial Services","JIOFIN.NS","0","341.5","India"
"562","PVR INOX","PVRINOX.NS","0","1620.5","India"
"563","Granules India","GRANULES.NS","0","603.85","India"
"564","Persistent Systems","PERSISTENT.NS","0","5469.55","India"
"565","Global Health Limited (Medanta)","MEDANTA.NS","0","1024.7","India"
"566","Future Supply Chain Solutions","FSC.NS","0","2.12","India"
"567","Aditya Birla Fashion and Retail","ABFRL.NS","0","340.25","India"
"568","Gateway Distriparks","GATEWAY.NS","0","87.79","India"
"569","Star Health and Allied Insurance Company","STARHEALTH.NS","0","547.6","India"
"570","Bharti Hexacom","BHARTIHEXA.NS","0","1445.4","India"
"571","KFin Technologies","KFINTECH.NS","0","1044.1","India"
"572","KEI Industries","KEI.NS","0","4575.95","India"
"573","SpiceJet","SPICEJET.BO","0","67.29","India"
"574","Mankind Pharma","MANKIND.NS","0","2792.55","India"
"575","Avalon Technologies","AVALON.NS","0","626.55","India"
"576","Lux Industries","LUXIND.NS","0","2073.15","India"
"577","MMTC","MMTC.NS","0","85.06","India"
"578","Ola Electric Mobility","OLAELEC.NS","0","90.2","India"
"579","Modern Dairies Limited","MODAIRY.BO","0","56.06","India"
"580","Kalyan Jewellers India","KALYANKJIL.NS","0","720.3","India"
"581","Indian Energy Exchange","IEX.NS","0","204.59","India"
"582","Narayana Hrudayalaya","NH.NS","0","1221.2","India"
"583","Milkfood Limited","MLKFOOD.BO","0","137.25","India"
"584","Metro Brands","METROBRAND.NS","0","1225.6","India"
"585","Rashtriya Chemicals and Fertilizers","RCF.NS","0","179.82","India"
"586","Hitachi Energy India","POWERINDIA.NS","0","15899.2","India"
